Rating,Location (City),Type of ownership,Industry,Sector,Lower Salary,Upper Salary,Age,Years of Experience,Population,Categorized Job Title,Average Take Home Income,Minimum Take Home Income,Maximum Take Home Income
3.8,Albuquerque,Company - Private,Aerospace & Defense,Aerospace & Defense,53000,91000,48,5.0,562599.0,Data Scientist,24994.225999999995,10174.225999999995,39775.966
3.4,Linthicum,Other Organization,Health Care Services & Hospitals,Health Care,63000,112000,37,5.0,976107.3524390244,Data Scientist,34367.34,15257.339999999997,53019.08
4.8,Clearwater,Company - Private,Security Services,Business Services,80000,90000,11,3.0,116674.0,Data Scientist,32417.339999999997,28517.339999999997,36299.08
3.8,Richland,Government,Energy,"Oil, Gas, Energy & Utilities",56000,97000,56,1.0,61929.0,Data Scientist,25787.339999999997,9797.339999999997,41619.08
2.9,New York,Company - Private,Advertising & Marketing,Business Services,86000,143000,23,5.0,8467513.0,Data Scientist,44204.6,22482.859999999993,65864.6
3.4,Dallas,Company - Public,Real Estate,Real Estate,71000,119000,21,5.0,1288457.0,Data Scientist,40673.07,22071.329999999994,58913.07
4.1,Baltimore,Company - Private,Banks & Credit Unions,Finance,54000,93000,13,5.0,576498.0,Data Scientist,20768.719999999994,5558.719999999994,35900.46
3.8,San Jose,Company - Private,Consulting,Business Services,86000,142000,16,5.0,983489.0,Data Scientist,26413.569999999992,5071.829999999987,47693.56999999999
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,38000,84000,7,5.0,210606.0,Data Scientist,14730.521999999997,-3587.1979999999967,32670.521999999997
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,38000,84000,7,5.0,210606.0,Data Scientist,14998.383999999998,-3319.3359999999957,32938.384
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,38000,84000,7,5.0,121465.0,Data Scientist,14730.521999999997,-3587.1979999999967,32670.521999999997
3.3,Rochester,Hospital,Health Care Services & Hospitals,Health Care,38000,84000,7,5.0,121465.0,Data Scientist,14998.383999999998,-3319.3359999999957,32938.384
4.6,New York,Company - Private,Internet,Information Technology,120000,160000,12,5.0,8467513.0,Data Scientist,63584.6,48384.6,78784.6
3.5,San Jose,Company - Private,Other Retail Stores,Retail,126000,201000,10,2.0,983489.0,Data Scientist,64033.56999999999,35533.56999999999,90057.88999999998
4.1,Chantilly,Company - Public,Research & Development,Business Services,64000,106000,53,5.0,976107.3524390244,Data Scientist,32417.339999999997,16037.339999999997,48459.08
3.2,Plano,Company - Public,"Department, Clothing, & Shoe Stores",Retail,106000,172000,59,5.0,288253.0,Data Scientist,73539.08,48459.08,98463.4
4.1,Seattle,Company - Private,Advertising & Marketing,Business Services,46000,85000,9,5.0,733919.0,Data Analyst,7793.903999999995,-7416.095999999998,23003.903999999995
3.7,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,83000,144000,240,5.0,117090.0,Data Scientist,54159.08,30857.339999999997,77339.08
3.6,Newark,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,102000,190000,26,5.0,307220.0,Data Engineer,78859.08,45419.08,110703.4
3.6,Newark,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,102000,190000,26,5.0,50383.0,Data Engineer,78859.08,45419.08,110703.4
3.9,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,67000,137000,10,3.0,117090.0,Data Scientist,45419.08,18377.339999999997,72019.08
4.3,Mountain View,Company - Private,Enterprise Software & Network Solutions,Information Technology,118000,189000,10,5.0,81516.0,Data Scientist,84559.08,57579.08,110023.4
4.2,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,11,5.0,815201.0,Data Scientist,46122.004,21422.004,70426.324
4.0,Denver,Nonprofit Organization,Insurance Carriers,Insurance,64000,111000,106,5.0,711463.0,Data Scientist,29737.153999999995,11407.153999999995,47628.894
3.2,Seattle,Company - Private,Internet,Information Technology,81000,130000,9,5.0,733919.0,Data Scientist,38665.644,19883.903999999995,57285.644
3.9,Dallas,Company - Private,Insurance Agencies & Brokerages,Insurance,73000,119000,8,5.0,1288457.0,Data Scientist,41433.07,23631.329999999994,58913.07
3.8,Chicago,Company - Private,Logistics & Supply Chain,Transportation & Logistics,86000,139000,26,5.0,2696555.0,Data Scientist,53360.814000000006,33159.074,73500.81400000001
4.3,Louisville,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,63000,105000,86,2.0,976107.3524390244,Data Scientist,34851.684,18471.684,50913.424000000006
4.0,Herndon,Company - Private,Enterprise Software & Network Solutions,Information Technology,109000,177000,9,5.0,976107.3524390244,Data Scientist,76579.08,50739.08,101863.4
4.0,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,110000,172,3.0,117090.0,Data Scientist,33587.34,15257.339999999997,51499.08
3.5,Hillsboro,Company - Private,Banks & Credit Unions,Finance,75000,124000,69,5.0,106633.0,Data Scientist,43519.08,24617.339999999997,62139.08
3.7,Worcester,Company - Public,Insurance Carriers,Insurance,34000,61000,169,5.0,205918.0,Data Analyst,-1883.7719999999972,-13191.492000000002,8646.227999999996
4.0,Groton,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,105000,172,5.0,976107.3524390244,Data Scientist,31637.339999999997,15257.339999999997,47699.08
4.8,Clearwater,Company - Private,Security Services,Business Services,80000,90000,11,3.0,116674.0,Data Scientist,32417.339999999997,28517.339999999997,36299.08
3.8,Richland,Government,Energy,"Oil, Gas, Energy & Utilities",56000,97000,56,1.0,61929.0,Data Scientist,25787.339999999997,9797.339999999997,41619.08
3.6,Detroit,Company - Private,Real Estate,Real Estate,72000,120000,24,5.0,632464.0,Data Scientist,43461.168,24879.427999999993,61701.168
3.8,Cambridge,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,86000,143000,25,5.0,117090.0,Data Scientist,54919.08,33197.34,76579.08
3.8,Sunnyvale,Company - Public,Telecommunications Services,Telecommunications,93000,149000,25,5.0,152258.0,Data Scientist,59859.08,38579.08,81139.08
4.7,Ipswich,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,85000,140000,47,5.0,976107.3524390244,Data Scientist,53399.08,32417.339999999997,74299.08
4.2,San Jose,Company - Private,IT Services,Information Technology,77000,135000,13,5.0,983489.0,Data Analyst,20333.569999999992,-1948.1700000000128,42373.56999999999
3.5,Redlands,Company - Private,Computer Hardware & Software,Information Technology,82000,132000,52,5.0,73288.0,Data Scientist,49219.08,30077.339999999997,68219.08
4.7,Woburn,Company - Private,Aerospace & Defense,Aerospace & Defense,83000,137000,11,5.0,976107.3524390244,Data Scientist,51499.08,30857.339999999997,72019.08
3.5,Fremont,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,115000,180000,151,5.0,227514.0,Data Scientist,79999.08,55299.08,103903.4
3.5,Long Beach,Company - Private,Insurance Carriers,Insurance,74000,138000,36,5.0,456062.0,Data Engineer,48459.08,23837.339999999997,72779.08
4.2,San Francisco,Company - Private,IT Services,Information Technology,64000,112000,13,5.0,815201.0,Data Analyst,4680.263999999996,-14039.736000000004,22942.004
4.2,San Francisco,Company - Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,11,5.0,815201.0,Data Scientist,46122.004,21422.004,70426.324
3.4,Allendale,Company - Public,Consumer Products Manufacturing,Manufacturing,52000,113000,6,2.0,976107.3524390244,Data Scientist,30467.339999999997,6677.3399999999965,53779.08
4.3,Chicago,Company - Public,Real Estate,Real Estate,110000,150000,28,3.0,2696555.0,Data Scientist,66660.81400000001,51460.814000000006,81860.81400000001
5.0,Washington,Company - Private,Enterprise Software & Network Solutions,Information Technology,150000,160000,-1,5.0,670050.0,Data Scientist,78007.614,74207.614,81807.614
3.7,Bellevue,Company - Public,IT Services,Information Technology,158000,211000,63,10.0,149440.0,Data Scientist,106963.4,87979.08,124983.4
3.7,Bellevue,Company - Public,IT Services,Information Technology,158000,211000,63,10.0,63737.0,Data Scientist,106963.4,87979.08,124983.4
3.1,Longmont,Company - Private,Enterprise Software & Network Solutions,Information Technology,20000,39000,35,20.0,100758.0,Data Analyst,-12100.380000000001,-20460.38,-3740.3799999999974
4.7,Beavercreek,Company - Private,Aerospace & Defense,Aerospace & Defense,56000,117000,22,5.0,976107.3524390244,Data Scientist,33587.34,9797.339999999997,56819.08
3.7,Peoria,Company - Public,Industrial Manufacturing,Manufacturing,63000,99000,96,5.0,194917.0,Data Scientist,34386.71799999999,20346.717999999993,48228.458
3.7,Peoria,Company - Public,Industrial Manufacturing,Manufacturing,63000,99000,96,5.0,111666.0,Data Scientist,34386.71799999999,20346.717999999993,48228.458
3.8,Fort Lauderdale,Subsidiary or Business Segment,Advertising & Marketing,Business Services,68000,114000,37,5.0,181668.0,Data Scientist,37059.08,19157.339999999997,54539.08
3.3,Boston,Company - Private,Insurance Carriers,Insurance,86000,143000,109,5.0,654776.0,Data Scientist,42444.36400000001,20722.624000000003,64104.36400000001
